"publication_id","ai_subfield"
"W2907492528","computer vision"
"W2907492528","graph neural networks"
"W2970971581","General AI"
"W2954996726","computer vision"
"W2914721378","graph neural networks"
"W2965857891","graph neural networks"
"W3177828909","General AI"
"W3080253043","graph neural networks"
"W2899457523","graph neural networks"
"W2936503027","General AI"
"W2912213068","federated learning"
"W3096561213","graph neural networks"
"W3169450514","graph neural networks"
"W1710476689","generative ai"
"W1710476689","reinforcement learning"
"W2948246283","graph neural networks"
"W4225405705","graph neural networks"
"W2751318774","General AI"
"W2912361013","computer vision"
"W3034552520","computer vision"
"W3034552520","transformer architecture"
"W2998496395","graph neural networks"
"W3024961463","graph neural networks"
"W2958089299","explainable ai"
"W2958089299","natural language processing"
"W4315977496","graph neural networks"
"W3116637551","graph neural networks"
"W3186179742","General AI"
"W2980576170","General AI"
"W4288039037","General AI"
"W2919358988","General AI"
"W2963849010","General AI"
"W3081203761","graph neural networks"
"W3079760979","General AI"
"W2981207549","reinforcement learning"
"W3174022889","graph neural networks"
"W4382987554","General AI"
"W3096831136","generative ai"
"W2912636151","graph neural networks"
"W2943605315","graph neural networks"
"W3039448353","computer vision"
"W4205539948","General AI"
"W2970119293","explainable ai"
"W2970119293","graph neural networks"
"W3022643593","General AI"
"W2910096450","General AI"
"W2963911286","graph neural networks"
"W2950865323","General AI"
"W4366988472","General AI"
"W2942231644","General AI"
"W2988916019","computer vision"
"W2923537029","General AI"
"W3100777112","computer vision"
"W3012562343","graph neural networks"
"W2926701059","General AI"
"W2955338161","General AI"
"W3043426275","General AI"
"W3178835722","graph neural networks"
"W2992584342","General AI"
"W3122391591","General AI"
"W3035739162","graph neural networks"
"W3011667710","natural language processing"
"W2962883549","General AI"
"W3138479716","generative ai"
"W3138479716","graph neural networks"
"W3093410479","General AI"
"W3011742849","General AI"
"W2968923792","General AI"
"W3188579603","graph neural networks"
"W4282940054","General AI"
"W2942454403","computer vision"
"W2942454403","neural architecture search"
"W2566079294","General AI"
"W2765424254","General AI"
"W3034560014","General AI"
"W3172365935","General AI"
"W2950697450","graph neural networks"
"W2963178695","General AI"
"W2954503794","explainable ai"
"W2973119841","General AI"
"W3040266635","General AI"
"W3182546273","General AI"
"W4312092243","General AI"
"W3034329572","graph neural networks"
"W3105081694","computer vision"
"W2910705748","explainable ai"
"W3023371261","computer vision"
"W3001768830","General AI"
"W4290876096","computer vision"
"W4290876096","graph neural networks"
"W3156313549","General AI"
"W2969996838","generative ai"
"W2969996838","graph neural networks"
"W3177781640","General AI"
"W2964971928","graph neural networks"
"W4388936714","graph neural networks"
"W3036016037","graph neural networks"
"W3036016037","natural language processing"
"W2967663220","General AI"
"W3045164669","graph neural networks"
"W3176923149","natural language processing"
"W2942858056","General AI"
"W4212835176","graph neural networks"
"W3035733952","graph neural networks"
"W2964303497","General AI"
"W4210725851","General AI"
