"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A2113107116","Zonghan Wu","0000-0003-2702-6393","2","15152","2","","","1","False","False"
"A5004759214","Adam Paszke","0000-0002-7665-4559","11","32087","29","","","10","False","False"
"A5051577117","Connor Shorten","0000-0001-6253-6861","6","12839","14","","","7","False","False"
"A5043696243","Wenqi Fan","0000-0002-4049-1233","26","4172","120","I14243506","HK","24","False","True"
"A5022275632","Chuxu Zhang","0000-0002-8349-7926","28","5145","151","I140172145","US","13","True","True"
"A5059179935","John Jumper","0000-0001-6169-6580","26","72399","57","I4210090411","GB","15","False","True"
"A5083854216","Zonghan Wu","0000-0003-4450-7738","9","4008","20","I75390827","CN","37","False","True"
"A2104973973","Shu Wu","0000-0001-9452-0944","2","198","39","","","1","True","False"
"A5018875253","Justin Johnson","0000-0003-3511-0624","24","19226","75","","","14","False","False"
"A5100636286","Qiang Yang","0000-0001-5059-8360","126","97405","1402","I102345215","CN","38","True","True"
"A5100705489","Thin Nguyen","0000-0003-3467-8963","22","2848","156","I149704539","AU","16","False","True"
"A5004071949","Ailin Deng","0009-0009-2859-3665","6","1070","33","I165932596","SG","23","False","True"
"A5108371459","Ian J. Goodfellow","","3","3654","4","I1291425158","US","10","False","True"
"A5100658548","Lei Shi","0000-0002-2013-4159","13","3518","31","I115592961","CN","16","False","True"
"A5020136831","Simon Batzner","0000-0002-8826-2712","14","3001","39","I136199984","US","7","False","True"
"A5089503857","Omid Ghorbanzadeh","0000-0002-9664-8770","44","5963","93","I92869138","AT","9","True","True"
"A5100658200","Qilong Wang","","27","10969","116","I162868743","CN","25","False","True"
"A5028794611","Deli Chen","0000-0001-6767-1376","76","22980","539","I165779595","AU","48","True","True"
"A5083996480","Peixiang Zhong","0000-0002-5656-9699","11","1377","26","","","12","False","False"
"A5046941628","Erico Tjoa","0000-0002-1599-1594","5","1861","20","I97018004","US","7","False","True"
"A5078622343","Chen Gao","0000-0002-7561-5646","28","4079","146","I99065089","CN","17","False","True"
"A5051474344","Hao Yuan","0000-0001-5270-2782","12","1081","34","","","24","False","False"
"A5044961635","Minkyung Baek","0000-0003-3414-9404","33","11404","99","I139264467","KR","18","False","True"
"A5100773328","Hongyu Liu","0000-0002-4628-6388","18","2852","107","I183067930","CN","28","False","True"
"A5002497813","Salvatore Cuomo","0000-0003-4128-2588","31","4861","248","I71267560","IT","44","False","True"
"A5083608547","Md Zahangir Alom","0000-0002-2314-1207","22","6493","113","I1313298211","US","19","False","True"
"A5002909072","Michael Haenlein","0000-0001-6175-4947","42","37180","88","I146655781","GB","22","False","True"
"A5100758371","Wei Jin","0000-0002-5054-954X","23","3039","134","I150468666","US","39","False","True"
"A5060938623","Thomas van Klompenburg","","2","1434","2","I913481162","NL","3","False","True"
"A5064468216","Sorin Grigorescu","0000-0003-4763-5540","12","1883","86","I3123573182","RO","65","False","True"
"A5074115949","Mengzhang Li","","4","914","5","I20231570","CN","3","False","True"
"A5095552159","Akshay Kumar Mahto","","1","1447","1","","","1","False","False"
"A5004271128","Ian Goodfellow","0000-0003-3937-2322","64","80048","111","","","17","False","False"
"A5036254733","Filippo Maria Bianchi","0000-0002-7145-3846","27","2887","148","I4210163047","IT","39","False","True"
"A5100322020","Jongmin Kim","0000-0003-2937-3073","15","1219","58","I139264467","KR","32","False","True"
