"institution_id","institution_name","country","country_code","latitude","longitude","type","qs_ranking_2024","region","research_output_score"
"I13897259","Universidad Andrés Bello","Chile","CL","-33.456939697265625","-70.64826965332031","education","100.0","South America","100.0"
"I4210094772","Henan University of Engineering","China","CN","34.62320709228516","113.69159698486328","education","100.0","Asia","100.0"
"I4210122384","Beijing Municipal Ecology and Environment Bureau","China","CN","39.907501220703125","116.39723205566406","government","100.0","Asia","100.0"
"I2802742124","John Radcliffe Hospital","United Kingdom","GB","51.7638053894043","-1.21875","healthcare","100.0","Europe","100.0"
"I4210092888","Changchun Institute of Applied Chemistry","China","CN","43.880001068115234","125.3227767944336","facility","100.0","Asia","100.0"
"I2802089456","Analytical Services","United States","US","38.88233184814453","-77.17108917236328","nonprofit","100.0","North America","100.0"
"I151727225","Harbin Engineering University","China","CN","45.75","126.6500015258789","education","100.0","Asia","100.0"
"I10180231","National Authority for Remote Sensing and Space Sciences","Egypt","EG","30.12917137145996","31.381498336791992","government","132.0","Africa","98.37"
"I90344618","Medical Research Council","United Kingdom","GB","51.50852966308594","-0.1257400065660476","other","100.0","Europe","100.0"
"I885507782","East West University","Bangladesh","BD","23.710399627685547","90.40744018554688","education","100.0","Asia","100.0"
"I4210097286","Hwa Chong Institution","Singapore","SG","1.3258583545684814","103.80428314208984","education","","Asia","17.32"
"I4210091170","Euskadiko Parke Teknologikoa","Spain","ES","43.30543899536133","-2.881160020828247","archive","100.0","Europe","100.0"
"I4387152555","STIKOM Tunas Bangsa","","","2.9595000743865967","99.0687026977539","other","","","55.23"
"I15807432","Osaka Prefecture University","Japan","JP","34.58332824707031","135.4666748046875","education","100.0","Asia","100.0"
"I107077323","Worcester Polytechnic Institute","United States","US","42.26258850097656","-71.80229187011719","education","100.0","North America","100.0"
"I4210132444","Systems, Applications & Products in Data Processing (Germany)","Germany","DE","49.29384613037109","8.641611099243164","company","100.0","Europe","100.0"
"I167027274","Nanjing Forestry University","China","CN","32.061668395996094","118.77777862548828","education","100.0","Asia","100.0"
"I70931966","Université de Montréal","Canada","CA","45.50883865356445","-73.58780670166016","education","100.0","North America","100.0"
"I99613584","National Taipei University","Taiwan","TW","24.94261741638184","121.36837768554688","education","100.0","Asia","100.0"
"I112982808","Universiti Sains Islam Malaysia","Malaysia","MY","2.803299903869629","101.79720306396484","education","100.0","Asia","100.0"
"I2802014819","Government of Gujarat","India","IN","23.29119300842285","72.56761169433594","government","758.0","Asia","77.16"
"I2801748203","Hammersmith Hospital","United Kingdom","GB","51.516361236572266","-0.2374989986419677","healthcare","1.0","Europe","100.0"
"I150314799","International Food Policy Research Institute","United States","US","38.90325546264648","-77.04644775390625","nonprofit","100.0","North America","100.0"
"I146429904","Incheon National University","South Korea","KR","37.37529373168945","126.6330108642578","education","100.0","Asia","100.0"
"I4210135511","AlbaNova","Sweden","SE","59.35344696044922","18.05780029296875","facility","100.0","Europe","100.0"
"I4210125881","National Indigenous Organization of Colombia","Colombia","CO","4.598916053771973","-74.07195281982422","nonprofit","","South America","6.13"
"I200576644","HRL Laboratories (United States)","United States","US","34.0257682800293","-118.78040313720705","company","100.0","North America","100.0"
"I142637625","Okinawa Institute of Science and Technology Graduate University","Japan","JP","26.475950241088867","127.852783203125","education","100.0","Asia","100.0"
"I119942284","Missouri State University","United States","US","37.215328216552734","-93.2982406616211","education","100.0","North America","100.0"
"I4750791","Henan Agricultural University","China","CN","34.75777816772461","113.64861297607422","education","100.0","Asia","100.0"
"I1314696892","Fermi National Accelerator Laboratory","United States","US","41.85002899169922","-88.31256866455078","facility","100.0","North America","100.0"
"I1299303238","National Institutes of Health","United States","US","38.98067092895508","-77.10025787353516","government","100.0","North America","100.0"
"I4210141120","Sorbonne University Abu Dhabi","United Arab Emirates","AE","24.489465713500977","54.41202163696289","education","100.0","Asia","100.0"
"I4210109676","Institute of Water Problems","Russia","RU","55.752220153808594","37.61555862426758","facility","100.0","Europe","100.0"
"I4210105595","Institute of Art","Poland","PL","52.24782943725586","21.005054473876957","facility","100.0","Europe","100.0"
"I26999989","University of the Free State","South Africa","ZA","-29.121070861816406","26.214000701904297","education","100.0","Africa","100.0"
"I4210160222","Liaocheng People's Hospital","China","CN","36.45780944824219","115.97923278808594","healthcare","100.0","Asia","100.0"
"I68649149","University of Malakand","Pakistan","PK","34.565608978271484","71.93042755126953","education","100.0","Asia","100.0"
"I96036126","Kumamoto University","Japan","JP","32.81388854980469","130.72805786132812","education","100.0","Asia","100.0"
"I4210123211","Istituto delle Scienze Neurologiche di Bologna","Italy","IT","44.465816497802734","11.390021324157717","facility","100.0","Europe","100.0"
"I36258959","University of California, San Diego","United States","US","32.7157096862793","-117.16471862792967","education","100.0","North America","100.0"
"I1287521167","Lockheed Martin (United States)","United States","US","38.98067092895508","-77.10025787353516","company","100.0","North America","100.0"
"I1313323035","Russian Academy of Sciences","Russia","RU","55.752220153808594","37.61555862426758","other","100.0","Europe","100.0"
"I118036225","Istanbul Bilgi University","Turkey","TR","41.01383972167969","28.94965934753418","education","100.0","Asia","100.0"
"I5740404","Tianjin Medical University","China","CN","39.14221954345703","117.17666625976562","education","100.0","Asia","100.0"
"I36152291","Henan University of Technology","China","CN","34.75777816772461","113.64861297607422","education","100.0","Asia","100.0"
"I4210104573","CMR University","India","IN","12.97194004058838","77.59368896484375","education","100.0","Asia","100.0"
"I4210087515","INTRASOFT International (Greece)","Greece","GR","37.94252014160156","23.870147705078125","company","","Europe","4.32"
"I132877587","Bangabandhu Sheikh Mujibur Rahman Science and Technology University","Bangladesh","BD","23.22348022460937","90.06040954589844","education","100.0","Asia","100.0"
"I308837","Suzhou University of Science and Technology","China","CN","31.304079055786133","120.59538269042967","education","100.0","Asia","100.0"
"I3121987637","National University of the Littoral","Argentina","AR","-31.63444328308105","-60.70527648925781","education","100.0","South America","100.0"
"I11944219","Universidad de La Frontera","Chile","CL","-38.73965072631836","-72.59841918945312","education","100.0","South America","100.0"
"I197681013","Université Paris-Est Créteil","France","FR","48.79265975952149","2.4656898975372314","education","100.0","Europe","100.0"
"I4210095018","National Center for Mathematics and Interdisciplinary Sciences","China","CN","39.907501220703125","116.39723205566406","facility","357.0","Asia","89.75"
"I187792471","Ionian University","Greece","GR","39.62440872192383","19.9201602935791","education","100.0","Europe","100.0"
"I1285204247","Cincinnati Children's Hospital Medical Center","United States","US","39.14048767089844","-84.50108337402344","healthcare","100.0","North America","100.0"
"I2800935791","UC San Diego Health System","United States","US","32.7157096862793","-117.16471862792967","healthcare","100.0","North America","100.0"
"I4210148639","Wuhan Engineering Science & Technology Institute","China","CN","30.583330154418945","114.26667022705078","facility","100.0","Asia","100.0"
"I60054993","Graphic Era University","India","IN","30.32443046569824","78.03392028808594","education","100.0","Asia","100.0"
"I115455960","Centre for Quantum Technologies","Singapore","SG","1.2974610328674316","103.7802963256836","facility","37.0","Asia","100.0"
"I4210090176","Institute of Computing Technology","China","CN","39.907501220703125","116.39723205566406","facility","100.0","Asia","100.0"
"I119234918","University of Northern Iowa","United States","US","42.52775955200195","-92.44547271728516","education","100.0","North America","100.0"
"I4210147181","Harvard Vanguard Medical Associates","United States","US","42.345359802246094","-71.10070037841797","nonprofit","4.0","North America","74.68"
"I4210085913","Frumkin Institute of Physical Chemistry and Electrochemistry","Russia","RU","55.71264266967773","37.58952713012695","facility","100.0","Europe","100.0"
"I4210148201","Ho Chi Minh City University of Technology and Education","Vietnam","VN","10.823019981384276","106.62964630126952","education","100.0","Asia","100.0"
"I4210160997","Inje University Seoul Paik Hospital","South Korea","KR","37.5651741027832","126.98883056640624","healthcare","100.0","Asia","100.0"
"I129364015","Partners In Health","United States","US","42.358428955078125","-71.05976867675781","nonprofit","100.0","North America","100.0"
"I4210091772","Max Planck Institute for Extraterrestrial Physics","Germany","DE","48.26166534423828","11.671667098999023","facility","100.0","Europe","100.0"
"I166775468","Slovak Medical University","Slovakia","SK","48.14815902709961","17.106740951538086","education","100.0","Europe","100.0"
"I4210109332","Lundin (Norway)","Norway","NO","59.90993881225586","10.63545036315918","company","","Europe","15.34"
"I4537092","Addis Ababa University","Ethiopia","ET","9.024970054626465","38.74689102172852","education","100.0","Africa","100.0"
"I4210113932","Materials Systems (United States)","United States","US","42.55690383911133","-71.48072814941406","company","131.0","North America","98.44"
"I213512949","T A Pai Management Institute","India","IN","13.32461166381836","74.80316162109375","education","","Asia","57.05"
"I74413500","University of Windsor","Canada","CA","42.300079345703125","-83.01654052734375","education","100.0","North America","100.0"
"I173759888","Hunan Normal University","China","CN","28.198740005493164","112.97087097167967","education","100.0","Asia","100.0"
"I4210136471","FC Barcelona","Spain","ES","41.38442993164063","2.1683249473571777","other","100.0","Europe","100.0"
"I4210149577","ESCP Business School","France","FR","48.85340881347656","2.34879994392395","education","100.0","Europe","100.0"
"I4210145636","IBM (Spain)","Spain","ES","40.44400405883789","-3.666095018386841","company","","Europe","12.77"
"I4210114105","Tsinghua–Berkeley Shenzhen Institute","China","CN","22.54553985595703","114.06829833984376","facility","10.0","Asia","100.0"
"I205984670","Czech University of Life Sciences Prague","Czech Republic","CZ","50.08803939819336","14.42076015472412","education","100.0","Europe","100.0"
"I4210165649","China Coal Research Institute (China)","China","CN","39.907501220703125","116.39723205566406","company","100.0","Asia","100.0"
"I4210107297","Clinical Practice Research Datalink","United Kingdom","GB","51.504669189453125","-0.0218630004674196","government","","Europe","29.76"
"I4210089311","Yanan University Affiliated Hospital","China","CN","36.62075805664063","109.52863311767578","healthcare","100.0","Asia","100.0"
"I90259746","Capital University of Economics and Business","China","CN","39.907501220703125","116.39723205566406","education","100.0","Asia","100.0"
"I4210113248","Indian Institute of Technology Palakkad","India","IN","10.773189544677734","76.6536636352539","facility","100.0","Asia","100.0"
"I186995768","Università degli studi di Cassino e del Lazio Meridionale","Italy","IT","41.48580932617188","13.828350067138672","education","100.0","Europe","100.0"
"I4210090124","Tecnológico Nacional de México","Mexico","MX","19.428470611572266","-99.1276626586914","other","100.0","North America","100.0"
"I4210086933","NYU Langone Health","United States","US","40.71427154541016","-74.00596618652344","healthcare","39.0","North America","100.0"
"I28022161","King Saud University","Saudi Arabia","SA","24.68773078918457","46.72185134887695","education","100.0","Asia","100.0"
"I4210140030","Eastman Chemical Company (United States)","United States","US","36.548431396484375","-82.56182098388672","company","100.0","North America","100.0"
"I2800368429","Hawkeye Community College","United States","US","42.431427001953125","-92.32716369628906","education","","North America","6.04"
"I4210109085","University of Information Technology and Management in Rzeszow","Poland","PL","50.04132080078125","21.99901008605957","education","100.0","Europe","100.0"
"I4210141849","National Administration of Surveying, Mapping and Geoinformation of China","China","CN","39.907501220703125","116.39723205566406","government","100.0","Asia","100.0"
"I888729015","University of Colorado Colorado Springs","United States","US","38.83388137817383","-104.82135772705078","education","100.0","North America","100.0"
"I4387152122","Gaziantep İslam Bilim ve Teknoloji Üniversitesi","","","37.05944061279297","37.38249969482422","education","","","38.95"
"I4210093460","Sixth Affiliated Hospital of Sun Yat-sen University","China","CN","23.15434455871582","113.32347106933594","healthcare","100.0","Asia","100.0"
"I71675930","Frankfurt School of Finance & Management","Germany","DE","50.11001968383789","8.69762897491455","education","100.0","Europe","100.0"
"I1295562517","Naturalis Biodiversity Center","Netherlands","NL","52.158329010009766","4.493060111999512","archive","100.0","Europe","100.0"
"I2800868911","Ara Institute of Canterbury","New Zealand","NZ","-43.533329010009766","172.63333129882812","education","","Oceania","55.01"
"I4210092024","Institut d'Estudis Espacials de Catalunya","Spain","ES","41.388790130615234","2.158989906311035","facility","100.0","Europe","100.0"
"I4210152770","Kano State University of Technology","Nigeria","NG","11.809370040893556","8.844220161437988","education","478.0","Africa","85.71"
"I146620803","Wenzhou University","China","CN","27.999420166015625","120.66681671142578","education","100.0","Asia","100.0"
"I4210139220","Cipher Gene (China)","China","CN","39.98392868041992","116.31535339355467","company","","Asia","28.79"
"I1323065761","Statistics Finland","Finland","FI","60.18831253051758","24.97491455078125","other","100.0","Europe","100.0"
"I4210135996","Institut Agro Dijon","France","FR","47.31666946411133","5.016670227050781","other","100.0","Europe","100.0"
"I75256744","Tennessee State University","United States","US","36.16588973999024","-86.78443908691406","education","100.0","North America","100.0"
"I177933477","Second Military Medical University","China","CN","31.22221946716309","121.45806121826172","education","100.0","Asia","100.0"
"I3131024953","Kardan University","Afghanistan","AF","34.54961013793945","69.1526870727539","education","","Asia","24.01"
"I155028946","Tribhuvan University","Nepal","NP","27.701690673828125","85.32060241699219","education","100.0","Asia","100.0"
"I125532205","American Medical Informatics Association","United States","US","38.98335647583008","-77.0947494506836","nonprofit","","North America","21.05"
"I4210103901","Advantest (Japan)","Japan","JP","35.68411636352539","139.7664031982422","company","","Asia","27.26"
"I4210094618","CT Group Of Institutions","India","IN","31.32714080810547","75.59169006347656","education","100.0","Asia","100.0"
"I150729083","Universidade de Brasília","Brazil","BR","-15.779720306396484","-47.92972183227539","education","100.0","South America","100.0"
"I141103825","Nanchang Institute of Technology","China","CN","28.6839599609375","115.85305786132812","education","100.0","Asia","100.0"
