date_key,date,year,quarter,month,month_name,week_of_year,is_conference_season
20190101,2019-01-01,2019,1,1,January,1,False
20190102,2019-01-02,2019,1,1,January,1,False
20190103,2019-01-03,2019,1,1,January,1,False
20190104,2019-01-04,2019,1,1,January,1,False
20190105,2019-01-05,2019,1,1,January,1,False
20190106,2019-01-06,2019,1,1,January,1,False
20190107,2019-01-07,2019,1,1,January,2,False
20190108,2019-01-08,2019,1,1,January,2,False
20190109,2019-01-09,2019,1,1,January,2,False
20190110,2019-01-10,2019,1,1,January,2,False
20190111,2019-01-11,2019,1,1,January,2,False
20190112,2019-01-12,2019,1,1,January,2,False
20190113,2019-01-13,2019,1,1,January,2,False
20190114,2019-01-14,2019,1,1,January,3,False
20190115,2019-01-15,2019,1,1,January,3,False
20190116,2019-01-16,2019,1,1,January,3,False
20190117,2019-01-17,2019,1,1,January,3,False
20190118,2019-01-18,2019,1,1,January,3,False
20190119,2019-01-19,2019,1,1,January,3,False
20190120,2019-01-20,2019,1,1,January,3,False
20190121,2019-01-21,2019,1,1,January,4,False
20190122,2019-01-22,2019,1,1,January,4,False
20190123,2019-01-23,2019,1,1,January,4,False
20190124,2019-01-24,2019,1,1,January,4,False
20190125,2019-01-25,2019,1,1,January,4,False
20190126,2019-01-26,2019,1,1,January,4,False
20190127,2019-01-27,2019,1,1,January,4,False
20190128,2019-01-28,2019,1,1,January,5,False
20190129,2019-01-29,2019,1,1,January,5,False
20190130,2019-01-30,2019,1,1,January,5,False
20190131,2019-01-31,2019,1,1,January,5,False
20190201,2019-02-01,2019,1,2,February,5,False
20190202,2019-02-02,2019,1,2,February,5,False
20190203,2019-02-03,2019,1,2,February,5,False
20190204,2019-02-04,2019,1,2,February,6,False
20190205,2019-02-05,2019,1,2,February,6,False
20190206,2019-02-06,2019,1,2,February,6,False
20190207,2019-02-07,2019,1,2,February,6,False
20190208,2019-02-08,2019,1,2,February,6,False
20190209,2019-02-09,2019,1,2,February,6,False
20190210,2019-02-10,2019,1,2,February,6,False
20190211,2019-02-11,2019,1,2,February,7,False
20190212,2019-02-12,2019,1,2,February,7,False
20190213,2019-02-13,2019,1,2,February,7,False
20190214,2019-02-14,2019,1,2,February,7,False
20190215,2019-02-15,2019,1,2,February,7,False
20190216,2019-02-16,2019,1,2,February,7,False
20190217,2019-02-17,2019,1,2,February,7,False
20190218,2019-02-18,2019,1,2,February,8,False
20190219,2019-02-19,2019,1,2,February,8,False
20190220,2019-02-20,2019,1,2,February,8,False
20190221,2019-02-21,2019,1,2,February,8,False
20190222,2019-02-22,2019,1,2,February,8,False
20190223,2019-02-23,2019,1,2,February,8,False
20190224,2019-02-24,2019,1,2,February,8,False
20190225,2019-02-25,2019,1,2,February,9,False
20190226,2019-02-26,2019,1,2,February,9,False
20190227,2019-02-27,2019,1,2,February,9,False
20190228,2019-02-28,2019,1,2,February,9,False
20190301,2019-03-01,2019,1,3,March,9,True
20190302,2019-03-02,2019,1,3,March,9,True
20190303,2019-03-03,2019,1,3,March,9,True
20190304,2019-03-04,2019,1,3,March,10,True
20190305,2019-03-05,2019,1,3,March,10,True
20190306,2019-03-06,2019,1,3,March,10,True
20190307,2019-03-07,2019,1,3,March,10,True
20190308,2019-03-08,2019,1,3,March,10,True
20190309,2019-03-09,2019,1,3,March,10,True
20190310,2019-03-10,2019,1,3,March,10,True
20190311,2019-03-11,2019,1,3,March,11,True
20190312,2019-03-12,2019,1,3,March,11,True
20190313,2019-03-13,2019,1,3,March,11,True
20190314,2019-03-14,2019,1,3,March,11,True
20190315,2019-03-15,2019,1,3,March,11,True
20190316,2019-03-16,2019,1,3,March,11,True
20190317,2019-03-17,2019,1,3,March,11,True
20190318,2019-03-18,2019,1,3,March,12,True
20190319,2019-03-19,2019,1,3,March,12,True
20190320,2019-03-20,2019,1,3,March,12,True
20190321,2019-03-21,2019,1,3,March,12,True
20190322,2019-03-22,2019,1,3,March,12,True
20190323,2019-03-23,2019,1,3,March,12,True
20190324,2019-03-24,2019,1,3,March,12,True
20190325,2019-03-25,2019,1,3,March,13,True
20190326,2019-03-26,2019,1,3,March,13,True
20190327,2019-03-27,2019,1,3,March,13,True
20190328,2019-03-28,2019,1,3,March,13,True
20190329,2019-03-29,2019,1,3,March,13,True
20190330,2019-03-30,2019,1,3,March,13,True
20190331,2019-03-31,2019,1,3,March,13,True
20190401,2019-04-01,2019,2,4,April,14,True
20190402,2019-04-02,2019,2,4,April,14,True
20190403,2019-04-03,2019,2,4,April,14,True
20190404,2019-04-04,2019,2,4,April,14,True
20190405,2019-04-05,2019,2,4,April,14,True
20190406,2019-04-06,2019,2,4,April,14,True
20190407,2019-04-07,2019,2,4,April,14,True
20190408,2019-04-08,2019,2,4,April,15,True
20190409,2019-04-09,2019,2,4,April,15,True
20190410,2019-04-10,2019,2,4,April,15,True
20190411,2019-04-11,2019,2,4,April,15,True
20190412,2019-04-12,2019,2,4,April,15,True
20190413,2019-04-13,2019,2,4,April,15,True
20190414,2019-04-14,2019,2,4,April,15,True
20190415,2019-04-15,2019,2,4,April,16,True
20190416,2019-04-16,2019,2,4,April,16,True
20190417,2019-04-17,2019,2,4,April,16,True
20190418,2019-04-18,2019,2,4,April,16,True
20190419,2019-04-19,2019,2,4,April,16,True
