"publication_id","title","abstract","publication_date","publication_year","author_id","institution_id","venue_id","citation_count","citation_count_normalized","open_access","ai_subfield","innovation_score","collaboration_score","h_index_at_publication","publication_url"
"W2907492528","A Comprehensive Survey on Graph Neural Networks","Deep learning has revolutionized many machine learning tasks in recent years, ranging from image classification and video processing to speech recognition and natural language understanding. The data in these tasks are typically represented in the Euclidean space. However, there is an increasing number of applications, where data are generated from non-Euclidean domains and are represented as graphs with complex relationships and interdependency between objects. The complexity of graph data has","2020-03-24","2020","A2113107116","I114017466","S4210175523","7716","1543.2","True","computer vision, graph neural networks","21.24","60.0","1","https://doi.org/10.1109/tnnls.2020.2978386"
"W2970971581","PyTorch: An Imperative Style, High-Performance Deep Learning Library","Deep learning frameworks have often focused on either usability or speed, but not both. PyTorch is a machine learning library that shows that these two goals are in fact compatible: it provides an imperative and Pythonic programming style that supports code as a model, makes debugging easy and is consistent with other popular scientific computing libraries, while remaining efficient and supporting hardware accelerators such as GPUs. In this paper, we detail the principles that drove the implemen","2019-12-03","2019","A5004759214","","S4306400194","16160","2693.33","True","General AI","55.89","25.0","8","https://doi.org/10.48550/arxiv.1912.01703"
"W2954996726","A survey on Image Data Augmentation for Deep Learning","Abstract Deep convolutional neural networks have performed remarkably well on many Computer Vision tasks. However, these networks are heavily reliant on big data to avoid overfitting. Overfitting refers to the phenomenon when a network learns a function with very high variance such as to perfectly model the training data. Unfortunately, many application domains do not have access to big data, such as medical image analysis. This survey focuses on Data Augmentation, a data-space solution to the p","2019-07-06","2019","A5051577117","I63772739","S2737955091","10914","1819.0","True","computer vision","52.35","25.0","4","https://doi.org/10.1186/s40537-019-0197-0"
"W2914721378","Graph Neural Networks for Social Recommendation","In recent years, Graph Neural Networks (GNNs), which can naturally integrate node information and topological structure, have been demonstrated to be powerful in learning on graph data. These advantages of GNNs provide great potential to advance social recommendation since data in social recommender systems can be represented as user-user social graph and user-item graph; and learning latent factors of users and items is the key. However, building social recommender systems based on GNNs faces c","2019-05-13","2019","A5043696243","I168719708","","1765","294.17","True","graph neural networks","61.19","67.5","19","https://doi.org/10.1145/3308558.3313488"
"W2965857891","Heterogeneous Graph Neural Network","Representation learning in heterogeneous graphs aims to pursue a meaningful vector representation for each node so as to facilitate downstream applications such as link prediction, personalized recommendation, node classification, etc. This task, however, is challenging not only because of the demand to incorporate heterogeneous structural (graph) information consisting of multiple types of nodes and edges, but also due to the need for considering heterogeneous attributes or contents (e.g., text","2019-07-25","2019","A5022275632","I107639228","","1366","227.67","True","graph neural networks","45.92","47.5","21","https://doi.org/10.1145/3292500.3330961"
"W3177828909","Highly accurate protein structure prediction with AlphaFold","Abstract Proteins are essential to life, and understanding their structure can facilitate a mechanistic understanding of their function. Through an enormous experimental effort 1–4 , the structures of around 100,000 unique proteins have been determined 5 , but this represents a small fraction of the billions of known protein sequences 6,7 . Structural coverage is bottlenecked by the months to years of painstaking effort required to determine a single protein structure. Accurate computational app","2021-07-15","2021","A5059179935","I4210090411","S137773608","39232","9808.0","True","General AI","84.65","65.0","21","https://doi.org/10.1038/s41586-021-03819-2"
"W3080253043","Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks","Modeling multivariate time series has long been a subject that has attracted researchers from a diverse range of fields including economics, finance, and traffic. A basic assumption behind multivariate time series forecasting is that its variables depend on one another but, upon looking closely, it is fair to say that existing methods fail to fully exploit latent spatial dependencies between pairs of variables. In recent years, meanwhile, graph neural networks (GNNs) have shown high capability i","2020-08-20","2020","A5083854216","I114017466","","1494","298.8","True","graph neural networks","46.21","40.0","7","https://doi.org/10.1145/3394486.3403118"
"W2899457523","Session-Based Recommendation with Graph Neural Networks","The problem of session-based recommendation aims to predict user actions based on anonymous sessions. Previous methods model a session as a sequence and estimate user representations besides item representations to make recommendations. Though achieved promising results, they are insufficient to obtain accurate user vectors in sessions and neglect complex transitions of items. To obtain accurate item embedding and take complex transitions of items into account, we propose a novel method, i.e. Se","2019-07-17","2019","A2104973973","I19820366","S4210191458","1339","223.17","True","graph neural networks","15.9","80.0","1","https://doi.org/10.1609/aaai.v33i01.3301346"
"W2936503027","Survey on deep learning with class imbalance","Abstract The purpose of this study is to examine existing deep learning techniques for addressing class imbalanced data. Effective classification with imbalanced data is an important area of research, as high class imbalance is naturally inherent in many real-world applications, e.g., fraud detection and cancer detection. Moreover, highly imbalanced data poses added difficulty, as most learners will exhibit bias towards the majority class, and in extreme cases, may ignore the minority class alto","2019-03-19","2019","A5018875253","I63772739","S2737955091","2509","418.17","True","General AI","46.69","25.0","18","https://doi.org/10.1186/s40537-019-0192-5"
"W2912213068","Federated Machine Learning","Today’s artificial intelligence still faces two major challenges. One is that, in most industries, data exists in the form of isolated islands. The other is the strengthening of data privacy and security. We propose a possible solution to these challenges: secure federated learning. Beyond the federated-learning framework first proposed by Google in 2016, we introduce a comprehensive secure federated-learning framework, which includes horizontal federated learning, vertical federated learning, a","2019-01-28","2019","A5100636286","I200769079","S2492086750","5088","848.0","False","federated learning","21.43","45.0","96","https://doi.org/10.1145/3298981"
"W3096561213","GraphDTA: predicting drug–target binding affinity with graph neural networks","Abstract Summary The development of new drugs is costly, time consuming and often accompanied with safety issues. Drug repurposing can avoid the expensive and lengthy process of drug development by finding new uses for already approved drugs. In order to repurpose drugs effectively, it is useful to know which proteins are targeted by which drugs. Computational models that estimate the interaction strength of new drug–target pairs have the potential to expedite drug repurposing. Several models ha","2020-10-15","2020","A5100705489","I149704539","S52395412","907","181.4","False","graph neural networks","30.73","50.0","17","https://doi.org/10.1093/bioinformatics/btaa921"
"W3169450514","Graph Neural Network-Based Anomaly Detection in Multivariate Time Series","Given high-dimensional time series data (e.g., sensor data), how can we detect anomalous events, such as system faults and attacks? More challengingly, how can we do this in a way that captures complex inter-sensor relationships, and detects and explains anomalies which deviate from these relationships? Recently, deep learning approaches have enabled improvements in anomaly detection in high-dimensional datasets; however, existing methods do not explicitly learn the structure of existing relatio","2021-05-18","2021","A5004071949","I165932596","S4210191458","961","240.25","True","graph neural networks","45.97","25.0","5","https://doi.org/10.1609/aaai.v35i5.16523"
"W1710476689","Generative Adversarial Networks","The Science of Deep Learning emerged from courses taught by the author that have provided thousands of students with training and experience for their academic studies, and prepared them for careers in deep learning, machine learning, and artificial intelligence in top companies in industry and academia. The book begins by covering the foundations of deep learning, followed by key deep learning architectures. Subsequent parts on generative models and reinforcement learning may be used as part of","2022-08-18","2022","A5108371459","I1291425158","S4306462995","2575","858.33","False","generative ai, reinforcement learning","33.47","60.0","2","https://doi.org/10.1017/9781108891530.013"
"W2948246283","Skeleton-Based Action Recognition With Directed Graph Neural Networks","The skeleton data have been widely used for the action recognition tasks since they can robustly accommodate dynamic circumstances and complex backgrounds. In existing methods, both the joint and bone information in skeleton data have been proved to be of great help for action recognition tasks. However, how to incorporate these two types of data to best take advantage of the relationship between joints and bones remains a problem to be solved. In this work, we represent the skeleton data as a d","2019-06-01","2019","A5100658548","I19820366","","903","150.5","False","graph neural networks","30.61","50.0","9","https://doi.org/10.1109/cvpr.2019.00810"
"W4225405705","E(3)-equivariant graph neural networks for data-efficient and accurate interatomic potentials","Abstract This work presents Neural Equivariant Interatomic Potentials (NequIP), an E(3)-equivariant neural network approach for learning interatomic potentials from ab-initio calculations for molecular dynamics simulations. While most contemporary symmetry-aware models use invariant convolutions and only act on scalars, NequIP employs E(3)-equivariant convolutions for interactions of geometric tensors, resulting in a more information-rich and faithful representation of atomic environments. The m","2022-05-04","2022","A5020136831","I136199984","S64187185","1288","429.33","True","graph neural networks","46.74","77.5","12","https://doi.org/10.1038/s41467-022-29939-5"
"W2751318774","Introduction to Machine Learning","The goal of machine learning is to program computers to use example data or past experience to solve a given problem. Many successful applications of machine learning exist already, including systems that analyze past sales data to predict customer behavior, optimize robot behavior so that a task can be completed using minimum resources, and extract knowledge from bioinformatics data. Introduction to Machine Learning is a comprehensive textbook on the subject, covering a broad array of topics no","2019-02-27","2019","","","S4210240769","1654","275.67","False","General AI","7.11","0.0","0","https://doi.org/10.1142/9789811201967_0001"
